ChatGPT-3.5,ChatGPT-3.5 +FT-LLM (News),"ChatGPT-3.5 +FT-LLM
(News+wiki)","ChatGPT-3.5 +FT-LLM
(News+Confidence)",ChatGPT- 4.0,"ChatGPT- 4.0 + FT-LLM
(News)"
1,1,1,1,1,1
1,1,1,1,1,0
0,0,0,0,0,0
1,1,0,1,1,1
1,1,1,1,1,1
1,1,1,1,1,1
0,0,0,0,0,0
1,0,0,1,1,1
0,0,0,0,0,0
1,1,1,1,1,1
1,0,0,1,1,1
0,0,0,0,0,1
1,0,0,1,1,1
0,0,0,0,0,0
1,0,0,1,1,1
1,1,1,1,0,1
0,1,1,1,0,1
1,1,0,1,1,0
0,0,1,0,1,1
1,1,0,1,1,1
0,0,0,0,0,1
1,0,0,1,1,1
0,1,0,0,1,1
0,0,0,0,0,0
0,1,1,1,0,1
0,0,1,1,0,0
0,0,0,0,0,0
0,0,1,1,1,1
1,1,0,1,1,1
1,0,1,1,1,1
1,1,1,1,1,1
1,0,0,0,0,0
0,0,0,0,0,0
1,1,1,1,1,1
1,1,0,1,1,1
1,0,1,1,1,1
1,0,0,0,1,1
0,1,1,0,1,1
1,0,0,1,1,1
0,1,0,1,0,1
0,0,0,0,0,1
0,0,1,0,0,1
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,1,0,0,1
