ChatGPT-3.5,ChatGPT-3.5 +FT-LLM (News),"ChatGPT-3.5 +FT-LLM
(News+wiki)","ChatGPT-3.5 +FT-LLM
(News+Confidence)",ChatGPT- 4.0,"ChatGPT- 4.0 + FT-LLM
(News)"
4.0,3.0,1.25,2.0,3.75,4.0
2.25,1.5,1.0,1.0,2.0,2.25
2.25,2.0,2.5,2.0,2.5,2.5
4.5,2.25,4.0,2.5,4.0,4.0
3.5,2.0,3.0,2.0,3.75,1.75
4.5,1.75,2.0,4.0,4.25,2.0
2.25,2.25,2.0,1.5,2.0,2.0
2.25,1.25,3.25,1.75,1.0,3.25
4.0,2.25,2.5,2.75,2.5,3.0
4.5,4.25,4.5,4.25,4.5,4.75
4.5,4.5,3.75,4.75,4.25,4.25
4.0,2.25,3.0,3.0,1.0,3.0
4.25,2.5,1.25,4.0,4.25,4.25
3.75,4.5,4.0,3.75,4.0,4.0
2.5,1.0,2.75,2.25,3.25,2.5
